Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Planet fitness inc,PLNT,"",4476.0,218000.0,0.0028,0.0051,124,-4111.0,-47.874694,reduction,0.0051788,Q3 2019,CONSUMER DISCRETIONARY,"","",57.87
Fedex corporation,FDX,"",1784.0,216000.0,0.0027,,125,1784.0,,new,0.0006829,Q2 2019,TRANSPORTS,"","",121.26
Citi trends inc,CTRN,"",23961.0,213000.0,0.0027,,126,23961.0,,new,0.2056718,Q1 2020,CONSUMER DISCRETIONARY,"","",8.9
Prog holdings inc,PRG,"",10949.37,212000.0,0.0027,0.0074,127,-8366.19,-43.313215,reduction,0.0137439,Q4 2019,CONSUMER DISCRETIONARY,"","",57.11
Cheesecake factory  inc. (the),CAKE,"",12282.0,210000.0,0.0027,,128,12282.0,,new,0.0270164,Q1 2020,CONSUMER DISCRETIONARY,"","",17.08
Natural grocers by vitamin cottage  inc.,NGVC,"",24670.0,210000.0,0.0027,,129,24670.0,,new,0.1096937,Q1 2020,CONSUMER STAPLES,"","",8.51
Tempur sealy international inc,TPX,"",18980.0,207000.0,0.0026,,130,18980.0,,new,0.0091077,Q1 2020,CONSUMER DISCRETIONARY,"","",43.71
Chegg inc,CHGG,"",5752.0,206000.0,0.0026,0.002,131,-938.0,-14.020927,reduction,0.0046554,Q4 2019,CONSUMER DISCRETIONARY,"","",37.91
Abercrombie & fitch co.,ANF,"",22402.0,204000.0,0.0026,0.0037,132,-4666.0,-17.238067,reduction,0.0363683,Q1 2019,CONSUMER DISCRETIONARY,"","",17.29
Zynga  inc.,ZNGA,"",28685.0,196000.0,0.0025,,133,28685.0,,new,0.0030013,Q2 2019,INFORMATION TECHNOLOGY,"","",6.85
Fossil group inc.,FOSL,"",55683.0,183000.0,0.0023,,134,55683.0,,new,0.1100825,Q4 2018,CONSUMER DISCRETIONARY,"","",3.29
Rent-a-center inc.,RCII,"",12140.0,172000.0,0.0022,0.003,135,-1100.0,-8.308157,reduction,0.0219806,Q3 2019,CONSUMER DISCRETIONARY,"","",25.79
Axogen inc,AXGN,"",16474.0,171000.0,0.0022,,136,16474.0,,new,0.0414557,Q1 2020,HEALTH CARE,"","",10.4
Conns inc,CONN,"",40328.0,169000.0,0.0021,0.0052,137,-12329.0,-23.413791,reduction,0.1390277,Q4 2019,CONSUMER DISCRETIONARY,"","",12.39
Bath & body works inc (l brands),BBWI,"",18009.48,168000.0,0.0021,,138,18009.48,,new,0.0052648,Q3 2018,CONSUMER DISCRETIONARY,"","",11.56
Office depot inc,ODP,"",9701.7,159000.0,0.002,0.0015,139,2611.6,36.834459,addition,0.0183366,Q3 2018,CONSUMER DISCRETIONARY,"","",24.4389
Hibbett sports  inc.,HIBB,"",11278.0,123000.0,0.0016,,140,11278.0,,new,0.0682850,Q1 2020,CONSUMER DISCRETIONARY,"","",10.94
Sally beauty holdings inc,SBH,"",14475.0,117000.0,0.0015,,141,14475.0,,new,0.0123944,Q3 2019,CONSUMER DISCRETIONARY,"","",8.08
Macys inc,M,"",22770.0,112000.0,0.0014,0.0184,142,-113550.0,-83.296655,reduction,0.0073530,Q2 2018,CONSUMER DISCRETIONARY,"","",15.62
Ethan allen interiors  inc.,ETD,"",10206.0,104000.0,0.0013,,143,10206.0,,new,0.0393607,Q1 2020,CONSUMER DISCRETIONARY,"","",10.22
Tivity health inc,TVTY,"",16219.0,102000.0,0.0013,,144,16219.0,,new,0.0334793,Q3 2019,HEALTH CARE,"","",6.29
Alphatec holdings inc,ATEC,"",28958.0,100000.0,0.0013,,145,28958.0,,new,0.0459693,Q1 2020,HEALTH CARE,"","",3.45
At home group inc,HOME,"",41685.0,84000.0,0.0011,,146,41685.0,,new,0.0650251,Q1 2020,CONSUMER DISCRETIONARY,"","",2.02
Sportsmans warehouse holdings inc,SPWH,"",12445.0,77000.0,0.001,,147,12445.0,,new,0.0287420,Q1 2019,CONSUMER DISCRETIONARY,"","",6.16
