Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-06-12,252.5771585239848,252.84870661799405,251.8167962363342,252.47760009765625,72329000,0.0,0.0,0.0
2018-06-13,252.7219985785345,252.9845134910909,251.46376126009656,251.6719665527344,79070600,0.0,0.0,0.0
2018-06-14,252.5591334863775,252.84877565759845,251.69918491316736,252.30567932128903,77097600,0.0,0.0,0.0
2018-06-15,251.5018264733017,252.32925806429108,250.3652491914705,251.98373413085935,120041600,1.246,0.0,0.0
2018-06-18,250.4925524657212,251.59277934587905,250.0015710176125,251.4654693603516,52917600,0.0,0.0,0.0
2018-06-19,249.13780065629965,250.72900923713365,248.7104463846509,250.50169372558597,97531500,0.0,0.0,0.0
2018-06-20,251.2017988684653,251.61097786153147,250.5835073776542,250.9290313720703,53785500,0.0,0.0,0.0
2018-06-21,250.9199652715992,250.9381682729093,248.84684876110825,249.3560333251953,71061400,0.0,0.0,0.0
2018-06-22,250.64720231500849,250.76541083177312,249.58335341260448,249.8106689453125,54898500,0.0,0.0,0.0
2018-06-25,248.6286667616509,248.7923273036593,244.6824720073869,246.4100646972656,137854200,0.0,0.0,0.0
2018-06-26,246.99195991710357,247.8284654752549,246.21908161447004,246.95558166503903,68547400,0.0,0.0,0.0
2018-06-27,247.5556693706409,249.01956780260704,244.75512700305023,244.9097137451172,105110700,0.0,0.0,0.0
2018-06-28,244.85515763397868,247.0919342554585,244.12773142682943,246.3099822998047,76650500,0.0,0.0,0.0
2018-06-29,247.42828147872552,248.8285522216692,246.5462965478957,246.6645050048828,97592500,0.0,0.0,0.0
2018-07-02,245.0552271785428,247.35565908517663,244.80970866280884,247.1919708251953,63554800,0.0,0.0,0.0
2018-07-03,248.11033920350195,248.2103724614588,245.88266375772224,246.319091796875,42187100,0.0,0.0,0.0
2018-07-05,247.4738410107452,248.39217672564445,246.3736140551399,248.3285217285156,56925900,0.0,0.0,0.0
2018-07-06,248.35577827475515,250.8107684550654,247.9647746167945,250.42889404296875,66493700,0.0,0.0,0.0
2018-07-09,251.45643525594323,252.73849821100396,251.4109832480565,252.68394470214844,50550400,0.0,0.0,0.0
2018-07-10,253.14765589062932,253.69321868157485,252.84758386879503,253.5931854248047,51966800,0.0,0.0,0.0
2018-07-11,252.00200556718627,252.8112622200087,251.4291659587352,251.73831176757807,77054700,0.0,0.0,0.0
2018-07-12,253.02941561181967,254.07506130989725,252.41112414233567,254.0205078125,60124700,0.0,0.0,0.0
2018-07-13,253.83869128521135,254.52971155404148,253.3749587737594,254.22056579589844,48216000,0.0,0.0,0.0
2018-07-16,254.26605087706224,254.4115083851999,253.53862459399676,253.9932556152344,48201000,0.0,0.0,0.0
2018-07-17,253.20215193436604,255.4207530985163,253.14759844249923,255.0206756591797,52315500,0.0,0.0,0.0
2018-07-18,255.10261984229143,255.6663580090304,254.6479887080204,255.5572509765625,44593500,0.0,0.0,0.0
2018-07-19,254.87522226415703,255.2661982541904,254.10234403488823,254.5933532714844,61412100,0.0,0.0,0.0
2018-07-20,254.3842594621763,255.0298555618609,254.1387686733037,254.30242919921875,82337700,0.0,0.0,0.0
2018-07-23,254.0932762802504,254.98433527870503,253.73865078198645,254.7752227783203,47047600,0.0,0.0,0.0
2018-07-24,256.22087814641907,256.9209997095108,255.16613117901076,256.05718994140625,68026900,0.0,0.0,0.0
2018-07-25,255.80262854589213,258.56679238803287,255.7571765519813,258.2394714355469,78882900,0.0,0.0,0.0
2018-07-26,257.5029667937532,258.330370657875,257.40293356113665,257.6302490234375,57919500,0.0,0.0,0.0
2018-07-27,257.9667422288811,258.066775488937,254.9389116498185,255.88455200195312,76768700,0.0,0.0,0.0
2018-07-30,255.9663898110365,256.1300503339803,254.01145404256647,254.5479431152344,63742500,0.0,0.0,0.0
2018-07-31,255.329790923262,256.42998987604165,254.9388150286703,255.80259704589844,68570500,0.0,0.0,0.0
2018-08-01,256.0118149549804,256.5301009717307,254.71157691167343,255.3753204345703,53853300,0.0,0.0,0.0
2018-08-02,254.03872400434227,256.93924426151284,253.82958375447575,256.7665100097656,63426400,0.0,0.0,0.0
2018-08-03,256.89375185263896,257.9212221928214,256.711888381494,257.8666687011719,53935400,0.0,0.0,0.0
2018-08-06,257.90308541768536,259.1305669113786,257.5030079202609,258.8123474121094,39400900,0.0,0.0,0.0
2018-08-07,259.49425796108375,260.0579958797781,259.3578464820376,259.6669921875,43196600,0.0,0.0,0.0
2018-08-08,259.4943256223136,259.967131927748,259.085146575425,259.5579528808594,42114600,0.0,0.0,0.0
2018-08-09,259.62156082863544,260.0216383024374,259.0669243640527,259.20330810546875,35717000,0.0,0.0,0.0
2018-08-10,257.7303685988685,258.2850051934272,256.7392484325465,257.4666748046875,77076000,0.0,0.0,0.0
2018-08-13,257.74840008058425,258.37579283663706,256.2026441819252,256.5027160644531,65732900,0.0,0.0,0.0
2018-08-14,257.2484367809789,258.38501436727387,256.848359250725,258.1394958496094,43842000,0.0,0.0,0.0
2018-08-15,256.7574463761596,256.9029316477215,254.7388833245149,256.2118835449219,102925400,0.0,0.0,0.0
2018-08-16,257.68485686765894,259.1760599341553,257.64847861644614,258.28497314453125,69967900,0.0,0.0,0.0
2018-08-17,258.0758420451993,259.64887542139763,257.6575892610713,259.1942443847656,65618500,0.0,0.0,0.0
2018-08-20,259.65793910583074,260.021638332473,259.19420663649026,259.7488708496094,39807500,0.0,0.0,0.0
2018-08-21,260.2762324986739,261.2400479432454,259.78522327740103,260.3580627441406,67272000,0.0,0.0,0.0
2018-08-22,259.93973651597014,260.7398912433524,259.6669413597454,260.20343017578125,44993300,0.0,0.0,0.0
2018-08-23,260.021692750532,260.9036781276717,259.53068343014536,259.8580322265625,49204900,0.0,0.0,0.0
2018-08-24,260.4489581920286,261.56736022115666,260.39440470265345,261.421875,57487400,0.0,0.0,0.0
2018-08-27,262.6494285991284,263.5950689228634,262.4857680859271,263.4859619140625,57072400,0.0,0.0,0.0
2018-08-28,263.9588080981762,264.0679428719488,263.1404776600052,263.6133117675781,46943500,0.0,0.0,0.0
2018-08-29,263.83144483931227,265.2680664788438,263.58595410775456,265.0316772460937,61485500,0.0,0.0,0.0
2018-08-30,264.5407118024822,264.92258633697486,263.3495806974369,263.9587707519531,61229500,0.0,0.0,0.0
2018-08-31,263.54041930989416,264.4224043073588,263.040336452436,263.9677734375,66140800,0.0,0.0,0.0
2018-09-04,263.5405213817237,263.8769439159643,262.48577402532146,263.51324462890625,57594400,0.0,0.0,0.0
2018-09-05,263.1494790257218,263.3586192436014,261.7674109838045,262.803955078125,72452400,0.0,0.0,0.0
2018-09-06,262.9130999474406,263.22224569550383,260.95819221054074,262.012939453125,65909900,0.0,0.0,0.0
2018-09-07,260.9399852167316,262.5039167656938,260.6944667492591,261.50372314453125,73524800,0.0,0.0,0.0
2018-09-10,262.54031782910926,262.8131130956797,261.7583657782543,261.9584045410156,50210900,0.0,0.0,0.0
2018-09-11,261.2946205482345,263.2768050793088,260.9400227919476,262.8221740722656,50530500,0.0,0.0,0.0
2018-09-12,262.83124972705343,263.5040946718029,262.0765745388997,262.88580322265625,59810800,0.0,0.0,0.0
2018-09-13,263.97693858044664,264.63160830082575,263.68596809395086,264.4406433105469,51034200,0.0,0.0,0.0
2018-09-14,264.64977498963555,264.84071222526507,263.68595956420967,264.4861145019531,55079900,0.0,0.0,0.0
2018-09-17,264.43159427933153,264.467944782187,262.80400745109927,263.0858764648437,68244000,0.0,0.0,0.0
2018-09-18,263.30415441825784,265.1226789477667,263.27687766025446,264.51348876953125,61930400,0.0,0.0,0.0
2018-09-19,264.56794208825977,265.2226117808855,264.4406321001376,264.7952575683594,49080600,0.0,0.0,0.0
2018-09-20,266.0864508216912,267.26848034816635,264.81346179505675,266.9411315917969,100360600,0.0,0.0,0.0
2018-09-21,267.7019564890467,267.8207000897048,266.53283375608817,266.6972351074219,105479700,1.323,0.0,0.0
2018-09-24,266.1035364216592,266.2496802428403,265.2175586691811,265.8112487792969,53409600,0.0,0.0,0.0
2018-09-25,266.2770699091762,266.38667080219534,265.31803422117554,265.56463623046875,44370000,0.0,0.0,0.0
2018-09-26,265.71082838383234,266.9256090012309,264.34076122368515,264.7700500488281,79739700,0.0,0.0,0.0
2018-09-27,265.2540819605388,266.624148824364,264.97093703860816,265.50982666015625,59249500,0.0,0.0,0.0
2018-09-28,264.87048596640443,266.04875142969894,264.83397091455055,265.5372619628906,70091400,0.0,0.0,0.0
2018-10-01,266.8068686201513,267.55584536655414,265.77477476123585,266.4598083496094,62078900,0.0,0.0,0.0
2018-10-02,266.30450439453125,267.03519569139,265.9209012196106,266.30450439453125,47258200,0.0,0.0,0.0
2018-10-03,267.38228867772864,267.8115774878168,266.0853074210959,266.4506530761719,64694600,0.0,0.0,0.0
2018-10-04,265.95737166218265,266.0121721065508,262.7422914715656,264.3681030273437,111545900,0.0,0.0,0.0
2018-10-05,264.5964091918188,265.1261560353675,261.42698720572525,262.8883972167969,105951700,0.0,0.0,0.0
2018-10-08,262.185078492439,263.25374275104537,260.7693540944469,262.8883972167969,87742200,0.0,0.0,0.0
2018-10-09,262.4956764355447,263.83831512996574,261.9293587483965,262.5047912597656,74339000,0.0,0.0,0.0
2018-10-10,261.98424507425904,262.05733093646705,253.8095272758845,254.1931304931641,214731000,0.0,0.0,0.0
2018-10-11,253.07879344270515,254.74114828604215,246.9408914530734,248.59413146972656,274840500,0.0,0.0,0.0
2018-10-12,252.7956254304141,253.08791308760007,248.7767677034052,252.0466766357422,183186500,0.0,0.0,0.0
2018-10-15,251.681299547011,253.0422517365112,250.5395770343244,250.63092041015625,102263700,0.0,0.0,0.0
2018-10-16,252.6403805274601,256.4948371098862,252.1562912638086,256.1112060546875,118255800,0.0,0.0,0.0
2018-10-17,256.14777868522225,256.7962693874064,253.51724507049963,256.15692138671875,110626000,0.0,0.0,0.0
2018-10-18,255.1977752539834,255.80975070095303,251.1515179170213,252.4576416015625,134557500,0.0,0.0,0.0
2018-10-19,253.1245323675588,255.106547666159,251.6083210468916,252.3207550048828,139901600,0.0,0.0,0.0
2018-10-22,253.0057084103828,253.33451111395476,250.64006271273544,251.18809509277344,82415800,0.0,0.0,0.0
2018-10-23,247.4797563009056,251.0601821049389,245.34242745854152,249.9093170166016,146352700,0.0,0.0,0.0
2018-10-24,249.65355521914023,250.04632887853697,241.77112779597428,242.33741760253903,177806700,0.0,0.0,0.0
2018-10-25,244.2190308430743,248.26528897069824,243.16865164587907,246.6851348876953,138061500,0.0,0.0,0.0
2018-10-26,242.885536304224,247.5254851637268,239.5699690726193,242.34661865234372,201574600,0.0,0.0,0.0
2018-10-29,245.5160268991457,246.8404363195054,237.3413094698166,241.00393676757807,160749100,0.0,0.0,0.0
2018-10-30,240.83042824483775,244.89494427387197,240.32805353961623,244.57525634765625,157116000,0.0,0.0,0.0
2018-10-31,247.205727006044,249.56225763514416,246.7216378262803,247.18746948242188,128296300,0.0,0.0,0.0
2018-11-01,248.07348352307557,250.0189832260434,246.95916118905143,249.8180389404297,99495000,0.0,0.0,0.0
2018-11-02,250.95058057082423,251.38901200194132,246.2375472141221,248.3383331298828,122634100,0.0,0.0,0.0
2018-11-05,248.8407299790763,250.27474027539876,247.84515120222775,249.7084503173828,65622500,0.0,0.0,0.0
2018-11-06,249.6445806106085,251.4530519280849,249.5806374354807,251.2886505126953,60085900,0.0,0.0,0.0
2018-11-07,253.51717002730337,256.75053562780425,253.07873859659895,256.6683349609375,102752100,0.0,0.0,0.0
2018-11-08,255.8463143439774,256.86017848247474,255.03342236720903,256.2025451660156,65584900,0.0,0.0,0.0
2018-11-09,254.85982421267005,255.0516257593192,252.25669172611063,253.6998443603516,98812600,0.0,0.0,0.0
2018-11-12,253.17925945435337,253.42586148884303,248.429682528295,248.9594573974609,99673600,0.0,0.0,0.0
2018-11-13,249.4344307046774,251.48038880049887,247.7538182868114,248.49365234375,98176600,0.0,0.0,0.0
2018-11-14,250.4116612805775,250.82266456660267,245.1962818413277,246.7946929931641,125335900,0.0,0.0,0.0
2018-11-15,245.49773905951508,249.8454272828553,243.8810700253976,249.37045288085935,135101400,0.0,0.0,0.0
2018-11-16,248.24708690149345,250.95067876607447,247.71731189733617,250.01904296875,126668000,0.0,0.0,0.0
2018-11-19,249.39789660449392,249.6993270081934,244.84929118584284,245.79006958007807,103061700,0.0,0.0,0.0
2018-11-20,242.37401983990503,243.87197343080348,240.35546187205816,241.24143981933597,136021300,0.0,0.0,0.0
2018-11-21,242.83069558588332,244.0089611750463,242.05434647681645,242.0634613037109,75563700,0.0,0.0,0.0
2018-11-23,240.3828189342273,241.8807722561217,240.28236073229004,240.4467620849609,42807900,0.0,0.0,0.0
2018-11-26,242.75766266004365,244.55701887184213,242.3557740125492,244.32867431640625,79981400,0.0,0.0,0.0
2018-11-27,243.2690935712767,245.1506500244141,242.6480032200455,245.1506500244141,75502400,0.0,0.0,0.0
2018-11-28,246.2467739378532,250.79537963867188,245.08676575785228,250.79537963867188,127629600,0.0,0.0,0.0
