Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-08,13.5256325750367,13.757237144861076,13.22454890883767,13.456151962280272,660362,0.0,0.0
1999-03-09,13.386663704387344,13.687747198637302,13.2940219293654,13.363502502441406,857098,0.0,0.0
1999-03-10,13.3403478831063,13.61827179733768,13.317188188745968,13.47930908203125,547942,0.0,0.0
1999-03-11,13.664587444117355,14.127793284127812,13.618266556840132,14.081472396850586,968231,0.0,0.0
1999-03-12,14.104634941815725,14.452039354905695,14.05831405012752,14.2899169921875,804750,0.0,0.0
1999-03-15,14.266761761659762,14.40572296375666,14.08147813702188,14.17411994934082,1087731,0.0,0.0
1999-03-16,14.104638718040054,14.452043224140374,14.058317813950389,14.336241722106934,696835,0.0,0.0
1999-03-17,14.428886976211633,14.452046675596767,14.220443616218148,14.382564544677734,921675,0.0,0.0
1999-03-18,14.26675581263084,14.313075183094297,13.68774700164795,13.68774700164795,686537,0.0,0.0
1999-03-19,13.595112734804712,13.919356052825837,13.502470920294936,13.849875450134276,1143513,0.0,0.0
1999-03-22,13.710912728369609,13.988838171898944,13.641432125678053,13.849875450134276,620672,0.0,0.0
1999-03-23,13.757233945858989,13.803553332671337,13.039262220927744,13.08558464050293,930257,0.0,0.0
1999-03-24,13.085581725731393,13.29402346910148,13.085581725731393,13.20138168334961,605654,0.0,0.0
1999-03-25,13.20138035378206,13.34034301841434,13.039258003234863,13.039258003234863,1126564,0.0,0.0
1999-03-26,12.992944041224051,13.155066459273495,12.92346192178746,12.969782829284668,1498152,0.0,0.0
1999-03-29,13.03926246232574,13.108744576593432,12.877141572718315,12.923460960388184,653926,0.0,0.0
1999-03-30,12.830821978079378,12.900302583056265,12.691859251744004,12.73818016052246,523484,0.0,0.0
1999-03-31,12.738173696064294,12.877136351877922,12.437089458182266,12.460249900817873,543437,0.0,0.0
1999-04-01,12.548392671175282,12.826729639277938,12.478807859659884,12.80353546142578,1299056,0.023305,0.0
1999-04-05,12.826726384291742,12.94270028140087,12.432414830392933,12.710752487182615,1010711,0.0,0.0
1999-04-06,12.617973131044277,12.66436299218072,12.246856519911024,12.52519416809082,1989240,0.0,0.0
1999-04-07,12.525197734003482,12.942703565817288,12.525197734003482,12.80353546142578,860960,0.0,0.0
1999-04-08,12.826732627252063,13.128266121407725,12.826732627252063,13.058680534362791,977671,0.0,0.0
1999-04-09,13.12826695687188,13.429798951576965,13.03548718066736,13.406604766845703,937337,0.0,0.0
1999-04-12,13.337015890165764,13.360210066542738,12.98909261403682,13.174652099609377,1186421,0.0,0.0
1999-04-13,12.989092024961044,13.012287718925249,12.780338372478823,12.91950798034668,1060699,0.0,0.0
1999-04-14,12.896315548038578,13.3138213907924,12.780340099821004,12.989093780517578,482507,0.0,0.0
1999-04-15,13.267432352949257,13.824107857529498,13.105070056199493,13.777719497680664,1678797,0.0,0.0
1999-04-16,14.079247233330657,14.82148051198896,13.824103737014909,14.659116744995115,3326699,0.0,0.0
1999-04-19,14.728702443741176,15.58690963303174,14.728702443741176,15.238987922668455,2688864,0.0,0.0
1999-04-20,14.983850797612632,15.308578472871046,14.288007080892854,14.473565101623535,1331452,0.0,0.0
1999-04-21,14.473561153946733,14.891068485014804,14.009665469328178,14.10244369506836,2088359,0.0,0.0
